id,name,type
205,Sciatica,DISEASE
206,Hypercalcemia,DISEASE
207,Stress Incontinence,DISEASE
208,Benign Kidney Cyst,DISEASE
209,Hydrocele Of The Testicle,DISEASE
210,Hirsutism,DISEASE
211,Hydronephrosis,DISEASE
212,Diverticulosis,DISEASE
213,Pain After An Operation,DISEASE
214,Huntington Disease,DISEASE
215,West Nile Virus,DISEASE
216,Lymphoma,DISEASE
217,Dermatitis Due To Sun Exposure,DISEASE
218,Anemia Due To Chronic Kidney Disease,DISEASE
219,Injury To Internal Organ,DISEASE
220,Scleritis,DISEASE
221,Pterygium,DISEASE
222,Fungal Infection Of The Skin,DISEASE
223,Insulin Overdose,DISEASE
224,Syndrome Of Inappropriate Secretion Of Adh (Siadh),DISEASE
225,Premenstrual Tension Syndrome,DISEASE
226,Orbital Cellulitis,DISEASE
227,Injury To The Leg,DISEASE
228,Hepatic Encephalopathy,DISEASE
229,Bone Cancer,DISEASE
230,Leishmaniasis,DISEASE
231,Chagas Disease,DISEASE
232,Syringomyelia,DISEASE
233,Pulmonary Fibrosis,DISEASE
234,Mitral Valve Disease,DISEASE
235,Parkinson Disease,DISEASE
236,Gout,DISEASE
237,Otitis Media,DISEASE
238,Myelodysplastic Syndrome,DISEASE
239,Fracture Of The Shoulder,DISEASE
240,Acute Kidney Injury,DISEASE
241,Threatened Pregnancy,DISEASE
242,Intracranial Abscess,DISEASE
243,Gum Disease,DISEASE
244,Open Wound From Surgical Incision,DISEASE
245,Gastrointestinal Hemorrhage,DISEASE
246,Seborrheic Dermatitis,DISEASE
247,Drug Abuse (Methamphetamine),DISEASE
248,Torticollis,DISEASE
249,Antihypertensives Poisoning,DISEASE
250,Tension Headache,DISEASE
251,Alcohol Intoxication,DISEASE
252,Scurvy,DISEASE
253,Narcolepsy,DISEASE
254,Food Allergy,DISEASE
255,Labyrinthitis,DISEASE
256,Anxiety,DISEASE
257,Impulse Control Disorder,DISEASE
258,Stenosis Of The Tear Duct,DISEASE
259,Abscess Of Nose,DISEASE
260,Omphalitis,DISEASE
261,Leukemia,DISEASE
262,Bell Palsy,DISEASE
263,Conjunctivitis Due To Allergy,DISEASE
264,Drug Reaction,DISEASE
265,Adrenal Cancer,DISEASE
266,Myopia,DISEASE
267,Osteoarthritis,DISEASE
268,Thyroid Disease,DISEASE
269,Pharyngitis,DISEASE
270,Chronic Rheumatic Fever,DISEASE
271,Hypocalcemia,DISEASE
272,Macular Degeneration,DISEASE
273,Pneumonia,DISEASE
274,Cold Sore,DISEASE
275,Premature Ventricular Contractions (Pvcs),DISEASE
276,Chancroid,DISEASE
277,Testicular Cancer,DISEASE
278,Hydrocephalus,DISEASE
279,Breast Cancer,DISEASE
280,Anemia Due To Malignancy,DISEASE
281,Esophageal Varices,DISEASE
282,Endometrial Cancer,DISEASE
283,Cystic Fibrosis,DISEASE
284,Intertrigo,DISEASE
285,Parathyroid Adenoma,DISEASE
286,Glucocorticoid Deficiency,DISEASE
287,Temporomandibular Joint Disorder,DISEASE
288,Wilson Disease,DISEASE
289,Vesicoureteral Reflux,DISEASE
290,Vitamin A Deficiency,DISEASE
291,Gonorrhea,DISEASE
292,Fracture Of The Rib,DISEASE
293,Ependymoma,DISEASE
294,Hepatitis Due To A Toxin,DISEASE
295,Vaginal Cyst,DISEASE
296,Chronic Knee Pain,DISEASE
297,Pinguecula,DISEASE
298,Hypergammaglobulinemia,DISEASE
299,Pituitary Disorder,DISEASE
300,Kidney Stone,DISEASE
301,Autism,DISEASE
302,Cat Scratch Disease,DISEASE
303,Chronic Glaucoma,DISEASE
304,Retinal Detachment,DISEASE
305,Aplastic Anemia,DISEASE
306,Overflow Incontinence,DISEASE
307,Rabies,DISEASE
308,Hemolytic Anemia,DISEASE
309,Lateral Epicondylitis (Tennis Elbow),DISEASE
310,Syphilis,DISEASE
311,Diabetic Kidney Disease,DISEASE
312,Nose Disorder,DISEASE
313,Drug Withdrawal,DISEASE
314,Dental Caries,DISEASE
315,Hypercholesterolemia,DISEASE
316,Fracture Of The Patella,DISEASE
317,Kidney Failure,DISEASE
318,Fracture Of The Neck,DISEASE
319,Muscle Spasm,DISEASE
320,Hemophilia,DISEASE
321,Hyperosmotic Hyperketotic State,DISEASE
322,Peritonsillar Abscess,DISEASE
323,Gastroparesis,DISEASE
324,Fat Embolism,DISEASE
325,Polycythemia Vera,DISEASE
326,Thrombocytopenia,DISEASE
327,Head And Neck Cancer,DISEASE
328,Pseudohypoparathyroidism,DISEASE
329,Goiter,DISEASE
330,Urge Incontinence,DISEASE
331,Edward Syndrome,DISEASE
332,Muscular Dystrophy,DISEASE
333,Mittelschmerz,DISEASE
334,Corneal Abrasion,DISEASE
335,Anemia Of Chronic Disease,DISEASE
336,Dysthymic Disorder,DISEASE
337,Scarlet Fever,DISEASE
338,Hypertensive Heart Disease,DISEASE
339,Drug Abuse (Barbiturates),DISEASE
340,Polycystic Ovarian Syndrome,DISEASE
341,Encephalitis,DISEASE
342,Cyst Of The Eyelid,DISEASE
343,Balanitis,DISEASE
344,Foreign Body In The Throat,DISEASE
345,Drug Abuse (Cocaine),DISEASE
346,Optic Neuritis,DISEASE
347,Intestinal Malabsorption,DISEASE
348,Lead Poisoning,DISEASE
349,Viral Warts,DISEASE
350,Hyperhidrosis,DISEASE
351,Stroke,DISEASE
352,Pilonidal Cyst,DISEASE
353,Crushing Injury,DISEASE
354,Normal Pressure Hydrocephalus,DISEASE
355,Alopecia,DISEASE
356,Hashimoto Thyroiditis,DISEASE
357,Flat Feet,DISEASE
358,Nonalcoholic Liver Disease (Nash),DISEASE
359,Hemarthrosis,DISEASE
360,Pelvic Organ Prolapse,DISEASE
361,Fracture Of The Arm,DISEASE
362,Coagulation (Bleeding) Disorder,DISEASE
363,Intracranial Hemorrhage,DISEASE
364,Hyperkalemia,DISEASE
365,Cornea Infection,DISEASE
366,Abscess Of The Lung,DISEASE
367,Dengue Fever,DISEASE
368,Chronic Sinusitis,DISEASE
369,Cholesteatoma,DISEASE
370,Volvulus,DISEASE
371,Injury To The Finger,DISEASE
372,Poisoning Due To Analgesics,DISEASE
373,Atrial Fibrillation,DISEASE
374,Pinworm Infection,DISEASE
375,Urethral Valves,DISEASE
376,Migraine,DISEASE
377,Arthritis,DISEASE
378,Sciatica,DISEASE
379,Complex Regional Pain Syndrome (Crps),DISEASE
380,Lupus,DISEASE
381,Endometriosis,DISEASE
382,Chronic Headache,DISEASE
383,Dry Skin,DISEASE
384,Eczema,DISEASE
385,Psoriasis,DISEASE
386,Scabies,DISEASE
387,Urticaria (Hives),DISEASE
388,Insect Bites,DISEASE
389,Contact Dermatitis,DISEASE
390,Dermatitis Due To Sun Exposure,DISEASE
391,Parasitic Infections,DISEASE
392,Influenza (Flu),DISEASE
393,Urinary Tract Infection (Uti),DISEASE
394,Bronchitis,DISEASE
395,Gastroenteritis (Stomach Flu),DISEASE
396,Urinary Stones (Kidney Stones),DISEASE
397,Osteoporosis,DISEASE
398,Rheumatoid Arthritis,DISEASE
399,Type 1 Diabetes,DISEASE
400,Type 2 Diabetes,DISEASE
