id,name,type
58,Visible Peristalsis,SYMPTOM
59,Palpable Mass,SYMPTOM
60,Fussiness,SYMPTOM
61,Lump,SYMPTOM
62,Facial Numbness,SYMPTOM
63,Tingling,SYMPTOM
64,Painless Lump Or Swelling,SYMPTOM
65,Facial Changes,SYMPTOM
66,Difficulty,SYMPTOM
67,Pain When Swallowing And Speaking,SYMPTOM
68,Facial Weakness,SYMPTOM
69,Facial Paralysis,SYMPTOM
70,Painless Fluid-Filled Swelling In The Oral Cavity,SYMPTOM
71,Joint Pain,SYMPTOM
72,Stiffness,SYMPTOM
73,Reduced Range Of Motion,SYMPTOM
74,Difficulty Eating,SYMPTOM
75,Dry Mouth,SYMPTOM
76,Bad Taste,SYMPTOM
77,Frequent Episodes Of Stone Formation,SYMPTOM
78,Swollen Salivary Glands (Usually Parotid),SYMPTOM
79,Fever,SYMPTOM
80,Fatigue,SYMPTOM
81,Severe Swelling Of The Floor Of The Mouth,SYMPTOM
82,Difficulty Swallowing,SYMPTOM
83,Drooling,SYMPTOM
84,Painless Swelling,SYMPTOM
85,Usually On The Lower Lip Or Floor Of The Mouth,SYMPTOM
86,Pus Formation,SYMPTOM
87,Dry Mouth And Eyes,SYMPTOM
88,Dry Skin,SYMPTOM
89,Gradual Loss Of Peripheral Vision,SYMPTOM
90,Tunnel Vision,SYMPTOM
91,Severe Eye Pain,SYMPTOM
92,Blurred Vision,SYMPTOM
93,Halos Around Lights,SYMPTOM
94,Nausea And Vomiting,SYMPTOM
95,Gradual Loss Of Vision,SYMPTOM
96,Visual Field Defects,SYMPTOM
97,Cloudy Or Hazy Eyes,SYMPTOM
98,Excessive Tearing,SYMPTOM
99,Sensitivity To Light,SYMPTOM
100,Varies Depending On The Underlying Cause,SYMPTOM
101,Eye Pain,SYMPTOM
102,Elevated Intraocular Pressure,SYMPTOM
103,Visual Field Loss,SYMPTOM
104,Elevated Intraocular Pressure Without Optic Nerve Damage,SYMPTOM
105,Extreme Weight Loss,SYMPTOM
106,Fear Of Gaining Weight,SYMPTOM
107,Distorted Body Image,SYMPTOM
108,Recurrent Episodes Of Binge Eating Followed By Purging Behaviors,SYMPTOM
109,Recurrent Episodes Of Binge Eating Without Compensatory Behaviors,SYMPTOM
110,Avoidance Or Restriction Of Certain Foods Or Entire Food Groups,SYMPTOM
111,Significant Weight Loss Or Failure To Gain Weight,SYMPTOM
112,Symptoms That Do Not Meet The Full Criteria For A Specific Eating Disorder,SYMPTOM
113,"Obsessive Focus On ""Clean"" Eating",SYMPTOM
114,Healthy Food Choices,SYMPTOM
115,Persistent Consumption Of Non-Food Substances,SYMPTOM
116,Repeated Regurgitation And Re-Chewing Of Food,SYMPTOM
117,Sudden Onset Of Neurological Symptoms That Resolve Within 24 Hours,SYMPTOM
118,Chills,SYMPTOM
119,Back Or Flank Pain,SYMPTOM
120,Shoulder Pain,SYMPTOM
121,Weakness Or Loss Of Strength,SYMPTOM
122,Limited Range Of Motion,SYMPTOM
123,Shoulder Stiffness,SYMPTOM
124,Widespread Musculoskeletal Pain,SYMPTOM
125,Sleep Disturbances,SYMPTOM
126,Extreme Fatigue,SYMPTOM
127,Cognitive Difficulties,SYMPTOM
128,Unrefreshing Sleep,SYMPTOM
129,Severe And Persistent Pain,SYMPTOM
130,Changes In Skin Color Or Temperature,SYMPTOM
131,Localized Muscle Pain,SYMPTOM
132,Trigger Points,SYMPTOM
133,Recurrent,SYMPTOM
134,Disabling Migraines,SYMPTOM
135,Shooting Or Burning Pain,SYMPTOM
136,Tingling Or Numbness,SYMPTOM
137,High Blood Sugar Levels During Pregnancy,SYMPTOM
138,High Blood Pressure During Pregnancy,SYMPTOM
139,High Blood Pressure Without Proteinuria (Preeclampsia),SYMPTOM
140,High Blood Pressure,SYMPTOM
141,Proteinuria,SYMPTOM
142,Headaches,SYMPTOM
143,Visual Disturbances,SYMPTOM
144,Severe Nausea And Vomiting During Pregnancy,SYMPTOM
145,Painful Urination,SYMPTOM
146,Pelvic Pain,SYMPTOM
147,Cloudy Urine,SYMPTOM
148,Pale Skin,SYMPTOM
149,Lower Back Pain,SYMPTOM
150,Discomfort In The Pelvic Area,SYMPTOM
151,Sharp Or Aching Pain In The Lower Abdomen Or Groin,SYMPTOM
152,Vaginal Bleeding,SYMPTOM
153,Painless Bleeding In The Third Trimester,SYMPTOM
154,Numbness,SYMPTOM
155,And Pain In The Hand And Fingers,SYMPTOM
156,Sharp Pain,SYMPTOM
157,Or Numbness That Radiates From The Lower Back Through The Hips And Down The Leg,SYMPTOM
158,Enlarged,SYMPTOM
159,Swollen Veins,SYMPTOM
160,Often In The Legs,SYMPTOM
161,Swollen,SYMPTOM
162,Itchy,SYMPTOM
163,Or Painful Veins In The Rectal Area,SYMPTOM
164,Itchy Skin,SYMPTOM
165,Particularly On The Hands And Feet,SYMPTOM
166,Jaundice (Yellowing Of The Skin And Eyes),SYMPTOM
167,Unexplained Weight Loss,SYMPTOM
168,Loss Of Appetite,SYMPTOM
169,Difficulty Breathing,SYMPTOM
170,Rapid Breathing,SYMPTOM
171,Chest Pain,SYMPTOM
172,Abdominal Pain Or Cramping,SYMPTOM
173,Shoulder Pain (If The Fallopian Tube Ruptures),SYMPTOM
174,Abdominal Pain (Often In The Upper Right Quadrant),SYMPTOM
175,Jaundice,SYMPTOM
176,Dark Urine,SYMPTOM
177,Pale Stools,SYMPTOM
178,Endoscopic Retrograde Cholangiopancreatography (Ercp) With Stone Removal,SYMPTOM
179,Sphincterotomy,SYMPTOM
180,Cholecystectomy,SYMPTOM
181,Abdominal Swelling (Ascites),SYMPTOM
182,Easy Bruising And Bleeding,SYMPTOM
183,Chest Or Back Pain,SYMPTOM
184,Nausea Or Vomiting,SYMPTOM
185,Weakness Or Numbness,SYMPTOM
186,Developmental Delays,SYMPTOM
187,Intellectual Disability,SYMPTOM
188,Hearing Loss,SYMPTOM
189,Vision Problems,SYMPTOM
190,Heart Defects,SYMPTOM
191,Liver Or Spleen Enlargement,SYMPTOM
192,Rash At Birth,SYMPTOM
193,Blurred Or Distorted Vision,SYMPTOM
194,Floaters,SYMPTOM
195,Impaired Color Vision,SYMPTOM
196,Dark Or Empty Areas In The Visual Field,SYMPTOM
197,Vision Loss,SYMPTOM
198,Cognitive Difficulties (Fibro Fog),SYMPTOM
199,Mood Changes,SYMPTOM
200,Severe Abdominal Pain,SYMPTOM
201,Bloody Stools,SYMPTOM
202,Diarrhea,SYMPTOM
203,Low Blood Pressure,SYMPTOM
204,Growth Deficiencies,SYMPTOM
205,Facial Abnormalities,SYMPTOM
206,Bloating,SYMPTOM
207,Increased Heart Rate,SYMPTOM
208,Changes In Bowel Movements,SYMPTOM
209,Blood In Urine Or Stool,SYMPTOM
210,Severe Upper Abdominal Pain,SYMPTOM
211,Rapid Pulse,SYMPTOM
212,Swollen And Tender Abdomen,SYMPTOM
213,Warmth,SYMPTOM
214,And Tenderness Along A Vein,SYMPTOM
215,Pain Or Discomfort,SYMPTOM
216,Skin Discoloration,SYMPTOM
217,Visible Veins,SYMPTOM
218,Recurrent Episodes Of Wheezing,SYMPTOM
219,Chest Tightness,SYMPTOM
220,Coughing,SYMPTOM
221,Especially At Night Or In Response To Triggers Such As Allergens Or Exercise,SYMPTOM
222,Uncomfortable Sensation In The Legs,SYMPTOM
223,Usually In The Evening Or At Night,SYMPTOM
224,Urge To Move Legs For Relief,SYMPTOM
225,Wheezing,SYMPTOM
226,Chronic Cough,SYMPTOM
227,Cramping,SYMPTOM
228,Emotional Distress,SYMPTOM
229,Facial Pain Or Pressure,SYMPTOM
230,Nasal Congestion,SYMPTOM
231,Thick Nasal Discharge,SYMPTOM
232,Post-Nasal Drip,SYMPTOM
233,Cough,SYMPTOM
234,Fever (In Some Cases),SYMPTOM
235,Hemangioblastomas (Tumors In The Brain,SYMPTOM
236,Spinal Cord,SYMPTOM
237,Or Other Organs),SYMPTOM
238,Retinal Angiomas (Abnormal Blood Vessel Growth In The Retina),SYMPTOM
239,Renal Cell Carcinomas (Kidney Tumors),SYMPTOM
240,Pheochromocytomas (Adrenal Gland Tumors),SYMPTOM
241,Pancreatic Cysts/Tumors,SYMPTOM
242,Other Tumors Or Cysts,SYMPTOM
243,Cravings For Alcohol,SYMPTOM
244,Inability To Control Or Limit Alcohol Consumption,SYMPTOM
245,Withdrawal Symptoms (Such As Tremors,SYMPTOM
246,Anxiety,SYMPTOM
247,Sweating) When Attempting To Stop Or Reduce Alcohol Use,SYMPTOM
248,Continued Use Despite Negative Consequences (Such As Relationship Problems,SYMPTOM
249,Health Issues),SYMPTOM
250,Neglecting Responsibilities,SYMPTOM
251,Tolerance To Alcohol,SYMPTOM
252,Compulsive Use Of Opioids,SYMPTOM
253,Strong Desire Or Cravings For Opioids,SYMPTOM
254,Inability To Control Or Reduce Opioid Use,SYMPTOM
255,Withdrawal Symptoms (Such As Nausea,SYMPTOM
256,Muscle Aches,SYMPTOM
257,Anxiety) When Attempting To Stop Or Reduce Use,SYMPTOM
258,Tolerance To Opioids,SYMPTOM
259,Continued Use Despite Negative Consequences (Such As Legal Issues,SYMPTOM
260,Health Problems),SYMPTOM
261,Increased Energy And Alertness,SYMPTOM
262,Euphoria,SYMPTOM
263,Decreased Appetite,SYMPTOM
264,Increased Heart Rate And Blood Pressure,SYMPTOM
265,Insomnia,SYMPTOM
266,Restlessness,SYMPTOM
267,Irritability,SYMPTOM
268,Paranoia,SYMPTOM
269,Psychosis (In Severe Cases),SYMPTOM
270,Increased Appetite,SYMPTOM
271,Relaxation,SYMPTOM
272,Altered Perception Of Time,SYMPTOM
273,Impaired Memory And Concentration,SYMPTOM
274,Bloodshot Eyes,SYMPTOM
275,Anxiety Or Paranoia (In Some Individuals),SYMPTOM
276,Withdrawal Symptoms (Such As Irritability,SYMPTOM
277,Insomnia) When Attempting To Stop Or Reduce Cannabis Use,SYMPTOM
278,Job Difficulties),SYMPTOM
279,Sedation,SYMPTOM
280,Reduced Anxiety,SYMPTOM
281,Drowsiness,SYMPTOM
282,Poor Coordination,SYMPTOM
283,Memory Impairment,SYMPTOM
284,Withdrawal Symptoms (Such As Rebound Anxiety,SYMPTOM
285,Tremors) When Attempting To Stop Or Reduce Benzodiazepine Use,SYMPTOM
286,Health Risks),SYMPTOM
287,Altered Perception Of Reality,SYMPTOM
288,Visual Or Auditory Hallucinations,SYMPTOM
289,Changes In Sensory Experiences,SYMPTOM
290,Introspective Thoughts,SYMPTOM
291,Feelings Of Connection Or Disconnection,SYMPTOM
292,Flashbacks (In Some Individuals),SYMPTOM
293,Tremors) When Attempting To Stop Or Reduce Use,SYMPTOM
294,Persistent Feelings Of Sadness,SYMPTOM
295,Emptiness,SYMPTOM
296,Or Hopelessness,SYMPTOM
297,Frequent Crying,SYMPTOM
298,Loss Of Interest Or Pleasure In Activities,SYMPTOM
299,Difficulty Bonding With The Baby,SYMPTOM
300,Changes In Appetite Or Sleep Patterns,SYMPTOM
301,Overwhelming Fatigue,SYMPTOM
302,Feelings Of Guilt Or Worthlessness,SYMPTOM
303,Trouble Concentrating Or Making Decisions,SYMPTOM
304,Thoughts Of Self-Harm Or Harming The Baby,SYMPTOM
305,Chest Pain Or Discomfort (Angina),SYMPTOM
306,Irregular Heartbeat,SYMPTOM
307,Jaw Or Arm Pain (In Some Cases),SYMPTOM
308,Heart Attack (When A Coronary Artery Becomes Completely Blocked),SYMPTOM
309,Chronic Back Pain And Stiffness,SYMPTOM
310,Especially In The Morning Or After Periods Of Inactivity,SYMPTOM
311,Limited Range Of Motion In The Spine,SYMPTOM
312,Inflammation And Pain In Other Joints (Such As Hips,SYMPTOM
313,Shoulders,SYMPTOM
314,Knees),SYMPTOM
315,Discomfort Or Pain In The Neck,SYMPTOM
316,Difficulty Maintaining Proper Posture,SYMPTOM
317,Tenderness Or Swelling In Affected Areas,SYMPTOM
318,Tingling Or Numbness In Extremities In Severe Cases,SYMPTOM
319,Vision Problems (Such As Blurred Vision Or Loss Of Peripheral Vision),SYMPTOM
320,Hormonal Imbalances (Such As Excessive Production Or Deficiency Of Specific Hormones),SYMPTOM
321,Weight Gain Or Loss,SYMPTOM
322,Menstrual Irregularities,SYMPTOM
323,Infertility,SYMPTOM
324,Erectile Dysfunction,SYMPTOM
325,Growth Abnormalities In Children,SYMPTOM
326,Cognitive Impairments,SYMPTOM
327,Heavy Or Prolonged Menstrual Periods,SYMPTOM
328,Pelvic Pain Or Pressure,SYMPTOM
329,Difficulty Emptying The Bladder,SYMPTOM
330,Constipation,SYMPTOM
331,Backache,SYMPTOM
332,Leg Pain,SYMPTOM
333,Enlarged Abdomen Or Uterus,SYMPTOM
334,Infertility Or Recurrent Miscarriages (In Some Cases),SYMPTOM
335,Abnormal Vaginal Bleeding Outside Of The Menstrual Period,SYMPTOM
336,Unpredictable Bleeding Episodes,SYMPTOM
337,Bleeding After Sexual Intercourse,SYMPTOM
338,Bleeding After Menopause,SYMPTOM
339,Spotting Or Light Bleeding Between Periods,SYMPTOM
340,Prolonged Or Heavy Bleeding,SYMPTOM
341,Painful,SYMPTOM
342,Red Lump Or Swelling On The Eyelid,SYMPTOM
343,Usually On The Upper Eyelid,SYMPTOM
344,Blurred Vision (If The Chalazion Affects The Line Of Sight),SYMPTOM
345,Mild Discomfort,SYMPTOM
346,Localized Inflammation And Swelling,SYMPTOM
347,Sudden And Severe Abdominal Or Pelvic Pain On One Side,SYMPTOM
348,Sharp Or Stabbing Pain,SYMPTOM
349,Rapid Heartbeat,SYMPTOM
350,Abdominal Tenderness,SYMPTOM
351,Pain During Intercourse,SYMPTOM
352,Abnormal Bleeding Or Spotting,SYMPTOM
353,Itching And Irritation In The Vagina And Vulva,SYMPTOM
354,Redness And Swelling Of The Vulva,SYMPTOM
355,White,SYMPTOM
356,Thick,SYMPTOM
357,Clumpy Vaginal Discharge (Resembling Cottage Cheese),SYMPTOM
358,Burning Sensation During Urination,SYMPTOM
359,Pain During Sexual Intercourse,SYMPTOM
360,Rash Or Soreness In The Affected Area,SYMPTOM
361,Ear Pain (Particularly Behind The Ear),SYMPTOM
362,Swelling And Redness Of The Ear Or The Area Behind The Ear,SYMPTOM
363,Hearing Loss Or Impaired Hearing,SYMPTOM
364,Drainage Of Fluid Or Pus From The Ear,SYMPTOM
365,Earache,SYMPTOM
366,Irritability (In Infants And Young Children),SYMPTOM
367,Tenderness Or Pain When Touching The Area,SYMPTOM
368,Mastoid Bone Protrusion Or Swelling,SYMPTOM
369,Chest Pain (Sharp Or Dull),SYMPTOM
370,Difficulty Breathing Or Shortness Of Breath,SYMPTOM
371,Rapid Or Shallow Breathing,SYMPTOM
372,Coughing Up Blood Or Pink-Tinged Sputum,SYMPTOM
373,Decreased Oxygen Levels,SYMPTOM
374,Cyanosis (Bluish Discoloration Of The Skin),SYMPTOM
375,Chest Wall Bruising,SYMPTOM
376,Rib Fractures (Associated Injuries),SYMPTOM
377,Especially During Physical Activity Or Exertion,SYMPTOM
378,Chest Pain Or Discomfort,SYMPTOM
379,Dizziness Or Lightheadedness,SYMPTOM
380,Fainting Or Near-Fainting Episodes,SYMPTOM
381,Heart Palpitations (Rapid Or Irregular Heartbeat),SYMPTOM
382,Swelling In The Ankles,SYMPTOM
383,Feet,SYMPTOM
384,Or Legs,SYMPTOM
385,Night Sweats,SYMPTOM
386,Elevated Eosinophil Count In The Blood Or Sputum,SYMPTOM
387,Blurred Or Hazy Vision,SYMPTOM
388,Eye Pain Or Discomfort,SYMPTOM
389,Redness Or Irritation Of The Eye,SYMPTOM
390,Sensitivity To Light (Photophobia),SYMPTOM
391,Foreign Body Sensation,SYMPTOM
392,Dryness Or Excessive Tearing,SYMPTOM
393,Corneal Abrasions Or Ulcers,SYMPTOM
394,Distorted Or Irregular Corneal Shape,SYMPTOM
395,Abdominal Pain Or Discomfort,SYMPTOM
396,Choking Or Gagging,SYMPTOM
397,Chest Pain Or Pressure,SYMPTOM
398,Respiratory Distress,SYMPTOM
399,Coughing Or Wheezing,SYMPTOM
400,Gastrointestinal Bleeding,SYMPTOM
401,Bowel Obstruction,SYMPTOM
402,Perforation Of The Digestive Tract,SYMPTOM
403,Decreased Vision,SYMPTOM
404,Floaters (Dark Spots Or Cobwebs In The Vision),SYMPTOM
405,Increased Sensitivity To Light (Photophobia),SYMPTOM
406,Discharge From The Eye,SYMPTOM
407,Reduced Hearing Sensitivity,SYMPTOM
408,Muffled Or Blocked Sound,SYMPTOM
409,Visible Bulge Or Swelling,SYMPTOM
410,Discomfort Or Pain,SYMPTOM
411,Impaired Memory And Cognition,SYMPTOM
412,Altered Judgment,SYMPTOM
413,Meningitis,SYMPTOM
414,Pneumonia,SYMPTOM
415,Excessive Body Weight,SYMPTOM
416,Increased Risk Of Chronic Conditions,SYMPTOM
417,Heartburn,SYMPTOM
418,Acidic Taste,SYMPTOM
419,Unintentional Weight Loss,SYMPTOM
420,Chest Discomfort Or Tightness,SYMPTOM
421,Rash,SYMPTOM
422,Rough,SYMPTOM
423,Scaly Patches On The Skin,SYMPTOM
424,Usually In Sun-Exposed Areas,SYMPTOM
425,Ear Pain,SYMPTOM
426,Fluid Drainage From The Ear,SYMPTOM
427,Hearing Loss Or Muffled Hearing In The Affected Ear,SYMPTOM
428,Eye Strain,SYMPTOM
429,Uneven Curvature Of Cornea,SYMPTOM
430,Benign Tumors In Various Organs,SYMPTOM
431,Skin Abnormalities,SYMPTOM
432,Productive Cough With Foul-Smelling Or Bloody Sputum,SYMPTOM
433,Gradual Hearing Loss,SYMPTOM
434,Difficulty Hearing High-Pitched Sounds,SYMPTOM
435,Speech Sounds Muffled Or Unclear,SYMPTOM
436,Yellowing Of The Skin And Eyes,SYMPTOM
437,Severe Pain,SYMPTOM
438,Visible Deformity,SYMPTOM
439,Inability To Move The Elbow,SYMPTOM
440,Numbness Or Tingling In The Hand/Arm,SYMPTOM
441,Neck Or Back Pain,SYMPTOM
442,Numbness Or Weakness In The Extremities,SYMPTOM
443,Sore Throat,SYMPTOM
444,Painful Sores Or Blisters In The Mouth And Throat,SYMPTOM
445,Changes In Heart Rate,SYMPTOM
446,Pain Or Tenderness At The Wound Site,SYMPTOM
447,Pus Or Drainage From The Wound,SYMPTOM
448,Malaise,SYMPTOM
449,Muscle Wasting,SYMPTOM
450,Delayed Wound Healing,SYMPTOM
451,Swelling Of The Limbs,SYMPTOM
452,Hair Loss,SYMPTOM
453,Impaired Immunity,SYMPTOM
454,Sudden,SYMPTOM
455,Brief Muscle Contractions Or Jerks,SYMPTOM
456,Often Affecting The Arms,SYMPTOM
457,Legs,SYMPTOM
458,Or Face,SYMPTOM
459,Heel Pain,SYMPTOM
460,Especially When Walking Or Standing,SYMPTOM
461,Inflammation Of The Surrounding Tissue,SYMPTOM
462,Easy Or Excessive Bruising,SYMPTOM
463,Prolonged Or Excessive Bleeding From Cuts Or Injuries,SYMPTOM
464,Frequent Nosebleeds,SYMPTOM
465,Bleeding Gums,SYMPTOM
466,Fainting,SYMPTOM
467,Irregular Heart Rhythms,SYMPTOM
468,Most Colonic Polyps Do Not Cause Symptoms. Some Larger Polyps Or Certain Types May Cause Rectal Bleeding Or Changes In Bowel Habits,SYMPTOM
469,Such As Diarrhea Or Constipation.,SYMPTOM
470,Abnormal Positioning Of The Urethral Opening On The Underside Of The Penis,SYMPTOM
471,Penile Curvature,SYMPTOM
472,Spraying Of Urine,SYMPTOM
473,Difficulty In Urination,SYMPTOM
474,Muscle Twitches Or Cramps,SYMPTOM
475,Mental Confusion,SYMPTOM
476,Personality Changes,SYMPTOM
477,Inability To Conceive After One Year Of Unprotected Intercourse,SYMPTOM
478,Irregular Or Absent Menstrual Cycles,SYMPTOM
479,Hormonal Imbalances,SYMPTOM
480,Age-Related Factors,SYMPTOM
481,Other,SYMPTOM
482,Chest Pain (Sharp And Stabbing),SYMPTOM
483,Worsens With Deep Breaths Or Lying Down,SYMPTOM
484,Inattention,SYMPTOM
485,Hyperactivity,SYMPTOM
486,Impulsivity,SYMPTOM
487,Optic Neuritis (Vision Loss,SYMPTOM
488,Pain With Eye Movement),SYMPTOM
489,Transverse Myelitis (Weakness,SYMPTOM
490,Or Paralysis Of The Limbs,SYMPTOM
491,Loss Of Bladder Or Bowel Control),SYMPTOM
492,Heart Palpitations,SYMPTOM
493,Fainting Or Lightheadedness,SYMPTOM
494,Swollen Legs Or Ankles,SYMPTOM
495,Swelling And Tenderness Of The Cartilage Connecting The Ribs To The Breastbone,SYMPTOM
496,Depends On The Specific Cranial Nerve Involved; Symptoms Can Include Vision Changes,SYMPTOM
497,Eye Movement Abnormalities,SYMPTOM
498,Facial Weakness Or Paralysis,SYMPTOM
499,Difficulty Swallowing Or Speaking,SYMPTOM
500,Loss Of Sensation In The Face Or Other Areas,SYMPTOM
501,Neurological Symptoms That Cannot Be Explained By A Medical Condition Or Injury,SYMPTOM
502,Such As Paralysis,SYMPTOM
503,Blindness,SYMPTOM
504,Or Difficulty Speaking,SYMPTOM
505,Severe And Chronic Pain,SYMPTOM
506,Often In The Limbs,SYMPTOM
507,With Associated Swelling,SYMPTOM
508,Abnormal Sweating,SYMPTOM
509,Hearing Loss (Gradual And Progressive),SYMPTOM
510,Tinnitus (Ringing In The Ears),SYMPTOM
511,Dizziness Or Balance Problems,SYMPTOM
512,Weight Gain,SYMPTOM
513,Sensitivity To Cold,SYMPTOM
514,Depression,SYMPTOM
515,Muscle Weakness,SYMPTOM
516,Elevated Cholesterol Levels,SYMPTOM
517,Difficulty Falling Asleep Or Staying Asleep,SYMPTOM
518,Daytime Sleepiness,SYMPTOM
519,Difficulty Concentrating,SYMPTOM
520,Itching And Visible Presence Of Lice Or Nits (Eggs) In The Hair,SYMPTOM
521,Tingling Or Numbness In The Hands And Feet,SYMPTOM
522,Balance Problems,SYMPTOM
523,Sore Tongue,SYMPTOM
524,Persistent Pain Or Discomfort In The Vulva,SYMPTOM
525,Burning,SYMPTOM
526,Stinging,SYMPTOM
527,Rawness,SYMPTOM
528,Itching,SYMPTOM
529,Pelvic Pain (During Menstruation,SYMPTOM
530,Intercourse,SYMPTOM
531,Or Bowel Movements),SYMPTOM
532,Heavy Menstrual Bleeding,SYMPTOM
533,Inflammation Of Blood Vessels Leading To Various Symptoms Depending On The Affected Organs,SYMPTOM
534,Including Rash,SYMPTOM
535,Muscle And Joint Pain,SYMPTOM
536,Memory Problems,SYMPTOM
537,Sensitivity To Light Or Noise,SYMPTOM
538,White Patches Or Plaques In The Mouth,SYMPTOM
539,Often On The Tongue Or Inside Of The Cheeks,SYMPTOM
540,That Cannot Be Scraped Off,SYMPTOM
541,Swelling Of The Legs Or Ankles,SYMPTOM
542,Increased Urination Or Urine Changes,SYMPTOM
543,Blood In Urine,SYMPTOM
544,Urgency,SYMPTOM
545,Persistent,SYMPTOM
546,Painful Erection,SYMPTOM
547,Inflammation,SYMPTOM
548,Swollen Lymph Nodes,SYMPTOM
549,Sharp,SYMPTOM
550,Shooting Pain Along The Affected Nerve,SYMPTOM
551,Kidney Cysts,SYMPTOM
552,Mood Swings,SYMPTOM
553,Manic Episodes,SYMPTOM
554,Depressive Episodes,SYMPTOM
555,Organ Dysfunction,SYMPTOM
556,Tingling In Limbs,SYMPTOM
557,Acid Reflux,SYMPTOM
558,Floaters In Vision,SYMPTOM
559,Blurry Vision,SYMPTOM
560,Neurological Symptoms,SYMPTOM
561,Thickening Of The Skin,SYMPTOM
562,Raynaud'S Phenomenon,SYMPTOM
563,Difficulty Speaking,SYMPTOM
564,Shaking,SYMPTOM
565,Lack Of Menstrual Periods,SYMPTOM
566,Inability To Bear Weight,SYMPTOM
567,Difficulty Walking,SYMPTOM
568,Difficulty Seeing Objects Up Close,SYMPTOM
569,Blurred Vision When Focusing On Near Objects,SYMPTOM
570,Slowed Breathing,SYMPTOM
571,Painful Blisters On The Skin And Mucous Membranes,SYMPTOM
572,Curvature Of The Penis,SYMPTOM
573,Pain During Erections,SYMPTOM
574,Muscle Stiffness,SYMPTOM
575,Tremors,SYMPTOM
576,Involuntary Movements,SYMPTOM
577,Vertigo,SYMPTOM
578,Tinnitus,SYMPTOM
579,Ear Fullness,SYMPTOM
580,Pain During Bowel Movements,SYMPTOM
581,Rectal Bleeding,SYMPTOM
582,Recurrent Ear Infections,SYMPTOM
583,Chronic Constipation,SYMPTOM
584,Abdominal Distension,SYMPTOM
585,Failure To Pass Meconium (In Newborns),SYMPTOM
586,Muscle Pain And Stiffness,SYMPTOM
587,Swelling In Arms Or Legs,SYMPTOM
588,Feeling Of Heaviness Or Tightness,SYMPTOM
589,Knee Pain,SYMPTOM
590,Inability To Straighten The Leg,SYMPTOM
591,Pain Radiating From The Lower Back To The Leg,SYMPTOM
592,Excessive Thirst,SYMPTOM
593,Kidney Stones,SYMPTOM
594,Unintentional Urine Leakage During Physical Activity,SYMPTOM
595,Abdominal Or Flank Pain,SYMPTOM
596,Swelling Of The Scrotum,SYMPTOM
597,Excessive Hair Growth In Women,SYMPTOM
598,Flank Pain,SYMPTOM
599,Urinary Frequency,SYMPTOM
600,Swelling In The Abdomen,SYMPTOM
601,Surgical Site Pain,SYMPTOM
602,Discomfort,SYMPTOM
603,Motor,SYMPTOM
604,Cognitive,SYMPTOM
605,And Psychiatric Symptoms,SYMPTOM
606,Body Aches,SYMPTOM
607,Blistering,SYMPTOM
608,Bleeding,SYMPTOM
609,Eye Redness,SYMPTOM
610,Growth On The Conjunctiva (White Part Of The Eye),SYMPTOM
611,Peeling Skin,SYMPTOM
612,Low Blood Sugar (Hypoglycemia) Symptoms (E.G.,SYMPTOM
613,Sweating),SYMPTOM
614,Excessively Concentrated Urine,SYMPTOM
